"id","source","iso_code3","country","global_category","overview_category","sector","subsector","indicator_id","indicator_name","value"
23207643,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Sanitation"
23207828,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_water","Water","Water Conservation and Reuse, Water Infrastructure, Water Management, Water Sanitation"
23208024,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208209,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_urban","Urban","Sustainable Urban Planning"
23208405,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208590,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_transport","Transport","No specified measure"
23208786,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23208971,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_tourism","Tourism","No specified measure"
23209167,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209352,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_social_development","Social Development","No specified measure"
23209548,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209733,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_lulucf","LULUCF/Forestry","No specified measure"
23209929,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210114,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_health","Health","Disease Surveillance and Control"
23210310,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210495,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_environment","Environment","Ecosystem and Biodiversity, Watershed and River Basin Management"
23210691,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23210876,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_energy","Energy","No specified measure"
23211072,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211257,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_education","Education","No specified measure"
23211453,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery"
23211638,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_drm","Disaster Risk Management (DRM)","Disaster Relief and Recovery"
23211834,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212019,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_cross_cutting_area","Cross-Cutting Area","Capacity Building and Knowledge Transfer, Climate Services"
23212215,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212399,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_coastal_zone","Coastal Zone","No specified measure"
23212595,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Climate Smart Agriculture, Crops"
23212778,"CAIT","ZMB","Zambia","Adaptation","",NA,NA,"a_agriculture","Agriculture","Climate Smart Agriculture, Climate Smart Agriculture, Crops"
23212974,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213159,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_agriculture","Agriculture","Climate Smart Agriculture"
23213355,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213540,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_buildings","Buildings","No specified measure"
23213736,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23213921,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_transport","Transport","No specified measure"
23214117,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23214302,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_lulucf","LULUCF/Forestry","Sustainable Forest Management"
23214498,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214683,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_economy-wide","Economy-wide","No specified measure"
23214879,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching"
23215064,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_energy","Energy","Renewable Energy, Supply-Side Efficiency: Power Generation Efficiency Improvement: Fuel Switching"
23215260,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215445,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_waste","Waste","No specified measure"
23215641,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23215826,"CAIT","ZMB","Zambia","Mitigation","",NA,NA,"m_industries","Industries","No specified measure"
23216021,"CAIT","ZMB","Zambia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The mitigation and adaptation programmes elaborated in this INDC will be integrated in the Seventh National Development Plan (SeNDP) currently being developed. Planning for adaptation and mitigation programs under the Zambia&rsquo;s INDC will be integrated in existing planning processes and supported by national budget allocations to sectors, ministries and sub-national authorities towards implementation of both the domestic and international supported efforts.</p><p>In addition, the decentralisation process currently being undertaken in the country will enhance multi stakeholder participation in the implementation of the INDC.</p><p>The planning process also recognizes the efforts being made to establish the National Climate Change Development Council for climate change coordination in the country as stipulated in the draft National Policy on Climate Change. Furthermore, the National Adaptation Planning process being undertaken by Government provides a good basis for long term adaptation programming and mainstreaming of climate change adaptation into the existing national planning processes.</p><p>The National Designated Authority (NDA) for the Green Climate Fund has already been designated and is expected to play a key role of &ldquo;clearing house or entity&rdquo; for climate change projects to be funded from GCF in Zambia. The process is on-going to select a National Implementing Entity (NIE) and establishing a National Climate Change Fund (NCCF).</p><p>The effectiveness of the INDC implementation will be ensured through development and strengthening of existing Monitoring Reporting and Verification (MRV) systems to track progress of implementation of both the mitigation and adaptation programs.""</p>"
23216204,"CAIT","ZMB","Zambia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","<p>""The mitigation and adaptation programmes elaborated in this INDC will be integrated in the Seventh National Development Plan (SeNDP) currently being developed. Planning for adaptation and mitigation programs under the Zambia&rsquo;s INDC will be integrated in existing planning processes and supported by national budget allocations to sectors, ministries and sub-national authorities towards implementation of both the domestic and international supported efforts.</p><p>In addition, the decentralisation process currently being undertaken in the country will enhance multi stakeholder participation in the implementation of the INDC.</p><p>The planning process also recognizes the efforts being made to establish the National Climate Change Development Council for climate change coordination in the country as stipulated in the draft National Policy on Climate Change. Furthermore, the National Adaptation Planning process being undertaken by Government provides a good basis for long term adaptation programming and mainstreaming of climate change adaptation into the existing national planning processes.</p><p>The National Designated Authority (NDA) for the Green Climate Fund has already been designated and is expected to play a key role of &ldquo;clearing house or entity&rdquo; for climate change projects to be funded from GCF in Zambia. The process is on-going to select a National Implementing Entity (NIE) and establishing a National Climate Change Fund (NCCF).</p><p>The effectiveness of the INDC implementation will be ensured through development and strengthening of existing Monitoring Reporting and Verification (MRV) systems to track progress of implementation of both the mitigation and adaptation programs.""</p>"
23216264,"CAIT","ZMB","Zambia","Mitigation","Overall Planning and Preparation",NA,NA,"planning_processes","Planning processes","""The mitigation and adaptation programs elaborated in this NDC are integrated into the Seventh National Development Plan (7NDP) and its successive plans. Planning for adaptation and mitigation programs under Zambia’s NDC. The National Adaptation Planning process being undertaken by Government provides a good basis for long term adaptation programming and mainstreaming of climate change adaptation into the existing national planning processes."""
23216439,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216578,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216604,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_double_counting","Whether and how any units purchased/acquired or sold/transferred abroad will ensure environmental integrity and avoid double counting","Not Specified"
23216775,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216914,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23216939,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_type_unit","Assumed types and years of units to be applied","Not Specified"
23217110,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217249,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217274,"CAIT","ZMB","Zambia","Mitigation","International Market Mechanism",NA,NA,"method_imm_limit","Limit on the percentage of emission reductions that may be achieved through the use of units from international market mechanisms","Not Specified"
23217432,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","</p>""Scenarios for the agriculture, land use, land use change and forestry, and waste sectors were developed using standard analysis spreadsheets.""</p>"
23217560,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","</p>""Scenarios for the agriculture, land use, land use change and forestry, and waste sectors were developed using standard analysis spreadsheets.""</p>"
23217609,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_other","Any other relevant accounting approaches, assumptions or methodologies","Not Specified"
23217753,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217875,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","Not Specified"
23217928,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_method","Any assumed use of methodologies to quantify and account for natural disturbances and legacy effects","""Emissions and subsequent removals from natural disturbances on afforested land and managed forest land may be excluded from the accounting if the emissions from the natural disturbance exceed the average emissions caused by natural disturbances in the period 2001-2020, excluding outliers (background level)"""
23218076,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218197,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218250,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_level","Level against which emissions and removals from the land sector are accounted, including policy assumptions and methodologies employed","Not Specified"
23218399,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218521,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218574,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_method","Assumed accounting method for the land sector (net-net, forward-looking baseline, or gross-net)","Not Specified"
23218722,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218843,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","Not Specified"
23218896,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_accounting_approach","Assumed accounting approach for the land sector (activity-based or land-based)","""Tier 2 method was employed for Land subcategory under AFOLU while Tier 1 was used for the remaining subcategories under AFOLU."""
23219044,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219165,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","Not Specified"
23219218,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_coverage","Coverage of the land sector as compared to total net emissions from the land sector, as a percentage if known","""For the AFOLU sector, emissions and removals the following reporting categories are included: forest land, cropland, grassland, and wetland (wetland remaining wetland only from 2026), including land use changes between the categories, and between these categories and settlements and other land. The five carbon pools above-ground biomass, below-ground biomass, litter, dead wood and soil organic matters are included. In addition, the carbon pool harvested wood products is included."""
23219416,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219584,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the target"
23219644,"CAIT","ZMB","Zambia","Mitigation","Accounting for Emissions and Removals from the Land Sector",NA,NA,"method_land_treatment","Treatment of land sector","Included in the broader target"
23219863,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Possible"
23220047,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","Possible"
23220107,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_imm","Planned use of international market mechanisms","""Zambia intends to use voluntary cooperation under Article 6 of the Paris Agreement to fulfil part of its target."""
23220377,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220443,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220453,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_dynamic_recalculation","Baseline scenario targets: For dynamic baseline scenario targets, under what conditions will the baseline be recalculated","Not Specified"
23220552,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified."
23220625,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified."
23220637,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_emission_drivers","Baseline scenario targets: Emission drivers included and assumptions and data sources for key drivers","Not Specified"
23220741,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","<p>""The baseline and mitigation scenarios were developed for Energy Sector using the 'Long-range Energy Alternatives Planning System' (LEAP) software. Scenarios for the agriculture, land use, land use change and forestry, and waste sectors were developed using standard analysis spreadsheets. Both [the 'domestic efforts with limited international support' and 'domestic efforts with substantial international support'] scenarios are based on data from the National and Sector Statistics, which included economic, demographic and sectoral information.""</p>"
23220817,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","<p>""The baseline and mitigation scenarios were developed for Energy Sector using the 'Long-range Energy Alternatives Planning System' (LEAP) software. Scenarios for the agriculture, land use, land use change and forestry, and waste sectors were developed using standard analysis spreadsheets. Both [the 'domestic efforts with limited international support' and 'domestic efforts with substantial international support'] scenarios are based on data from the National and Sector Statistics, which included economic, demographic and sectoral information.""</p>"
23220830,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_projection_method","Baseline scenario targets: Projection method","""All the categories were included in the baseline emissions in the INDC in accordance with Decision 1/CP.21 para. 31 (c). The country will at the latest by 31 December 2024 report a GHG inventory in accordance with 18/CMA.1 and report on progress towards its nationally determined contribution. For accounting relevant information, Zambia will use the accounting guidance in 4/CMA.1. For IPCC methodologies and metrics, see 5 (d)."""
23220932,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>The cut-off year for policies included in the baseline scenario is implied to be 2015, given that ""GHG emission projections for 2030, starting in 2010, and 2016 as the first year of implementation of the programs recommended"".</p>"
23221004,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","<p>The cut-off year for policies included in the baseline scenario is implied to be 2015, given that ""GHG emission projections for 2030, starting in 2010, and 2016 as the first year of implementation of the programs recommended"".</p>"
23221017,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_year","Baseline scenario targets: Cut-off year for policies included in the baseline scenario, and any significant policies excluded from the baseline scenario","2015"
23221117,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221188,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221200,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_baseline_static_dynamic","Baseline scenario targets: Static or dynamic baseline scenario","Not Specified"
23221402,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","<p>""The GWP values used were: GWP CO<sub>2</sub> = 1 (by convention), GWP CH<sub>4</sub> = 21 and GWP N<sub>2</sub>O = 310.""</p>"
23221587,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","<p>""The GWP values used were: GWP CO<sub>2</sub> = 1 (by convention), GWP CH<sub>4</sub> = 21 and GWP N<sub>2</sub>O = 310.""</p>"
23221647,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_gwp","Global warming potential (GWP) values to be used to track progress","""Global warming potentials (GWP) for a 100 year time horizon from the IPCCs Second Assessment Report was used."""
23221866,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""The methodology used is Revised 1996 IPCC Guidelines and 2000 Good Practice Guidance.""</p>"
23222051,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","<p>""The methodology used is Revised 1996 IPCC Guidelines and 2000 Good Practice Guidance.""</p>"
23222111,"CAIT","ZMB","Zambia","Mitigation","Overall Assumptions and Methodologies",NA,NA,"method_ipcc","IPCC inventory methodologies to be used to track progress","IPCC 2006 guidelines"
23222330,"CAIT","ZMB","Zambia","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Not Specified"
23222514,"CAIT","ZMB","Zambia","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Not Specified"
23222572,"CAIT","ZMB","Zambia","Mitigation","Scope and Coverage",NA,NA,"coverage_percent_covered","Percentage of national emissions covered, as reflected in the most recent national greenhouse gas inventory","Not Specified"
