Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","20779953","21606988","22600770","23680871","24726684","25654277","26433049","27100536","27722276","28394813","29185507","30117413","31161376","32269589","33370794","34413603"
Afghanistan,"AFG","Population growth (annual %)","SP.POP.GROW","2.97505284644171","3.90280570094654","4.49671956064979","4.66836149396509","4.3215392956708","3.68273179651497","2.99047809385985","2.49384229934363","2.26827714453847","2.39702099079878","2.74657628012835","3.14312590262153","3.40758697372751","3.49458904891961","3.35558166118149","3.07708359546317"
Afghanistan,"AFG","Surface area (sq. km)","AG.SRF.TOTL.K2","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860","652860"
Afghanistan,"AFG","Poverty headcount ratio at national poverty lines (% of population)","SI.POV.NAHC","..","..","..","..","..","..","..","33.7","..","..","..","38.3","..","..","..",".."
Afghanistan,"AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","..","..","..","..","..","..","..","..","..","12652732873.5425","14872475743.709","16077121255.8781","19583172656.3936","21249374020.7955","21141556283.3438","20583397305.2794"
Afghanistan,"AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","..","..","..","..","..","..","..","..","..","450","510","530","630","660","630","600"
Afghanistan,"AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","..","..","..","..","..","..","..","..","..","43028339585.6309","50011958157.3092","51128371957.0037","59760957551.4133","65266760469.2683","69050351843.9249","72481076024.3345"
Afghanistan,"AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","..","..","..","..","..","..","..","..","..","1520","1710","1700","1920","2020","2070","2110"
Afghanistan,"AFG","Income share held by lowest 20%","SI.DST.FRST.20","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
Afghanistan,"AFG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","55.841","56.308","56.784","57.271","57.772","58.29","58.826","59.375","59.93","60.484","61.028","61.553","62.054","62.525","62.966","63.377"
Afghanistan,"AFG","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN","7.485","7.387","7.272","7.148","7.016","6.875","6.722","6.555","6.373","6.18","5.977","5.77","5.562","5.359","5.163","4.976"
